B,pet_name,pet_type,breed,age,weight,color,birth_date,owner_name,owner_email,owner_address,owner_city,owner_state,owner_country,owner_postal_code,vaccinated,neutered,microchip_id,vet_name,vet_phone,groomer_name,groomer_phone,food_brand,food_quantity,food_frequency,exercise_duration,exercise_frequency,sleep_duration,temperament,favorite_toy,favorite_treat,grooming_needs
444,Brear,dog,Labrador Retriever,4,60.7,brown,3/14/2021,Brear Boor,bmcorkilcb@sciencedaily.com,236 Fisk Circle,Zongzhai,,China,,false,true,9079715064,Brear Hairsnape,483-170-3487,Brear McOrkil,659-178-9091,Blue Buffalo,9.36,twice a day,10.5,weekly,23.1,energetic,chew toy,dog biscuit,high
445,Xena,cat,Parakeet,18,63.8,black,12/23/2018,Xena Tilford,xcowwellcc@nifty.com,66157 Talisman Terrace,Novorozhdestvenskaya,,Russia,186445,true,false,5916185990,Xena Gravestone,105-219-1608,Xena Cowwell,666-768-1209,Purina,1.38,three times a day,73.5,3 times a week,14.5,energetic,stuffed animal,fish flakes,moderate
446,Halsy,dog,Goldfish,8,57.5,brown,8/22/2003,Halsy Youel,hpaddemorecd@t-online.de,4 Heffernan Park,Ciklapa,,Indonesia,,true,true,9932945873,Halsy Frith,678-268-1416,Halsy Paddemore,612-418-7865,Purina,2.15,three times a day,72.3,3 times a week,22.3,friendly,chew toy,catnip,low
447,Nettle,cat,Goldfish,1,75,white,9/24/2016,Nettle Sisnett,nmarklewce@netscape.com,3 Carioca Way,Chitré,,Panama,,false,false,9124136311,Nettle Ranfield,638-297-3310,Nettle Marklew,338-883-3735,Royal Canin,3.95,three times a day,2.8,3 times a week,4.7,playful,feather wand,dog biscuit,low
448,Roselia,cat,Parakeet,1,74.1,black,6/15/2022,Roselia Brazur,rthomsoncf@oracle.com,11741 Monterey Plaza,Shanglu,,China,,false,true,5450373123,Roselia Featherstonhalgh,555-816-1136,Roselia Thomson,829-398-5957,Iams,0.75,once a day,65.6,weekly,16.9,playful,feather wand,dog biscuit,low
449,Moore,bird,Holland Lop,8,24.1,white,12/1/2019,Moore Bulgen,mmcgeouchcg@scribd.com,7 Autumn Leaf Point,Sandnes,Rogaland,Norway,4312,true,false,8903625783,Moore Blazey,601-574-8436,Moore McGeouch,820-743-3622,Hill's Science Diet,5.9,three times a day,17.7,3 times a week,1.5,playful,feather wand,fish flakes,low
450,Allie,bird,Goldfish,0,56.4,black,8/9/2006,Allie Cashley,aradwellch@baidu.com,593 Cardinal Junction,Vitrolles,Provence-Alpes-Côte d'Azur,France,13867 CEDEX 9,true,true,7869228754,Allie Scotford,339-680-7060,Allie Radwell,208-625-9213,Iams,7.05,three times a day,8,3 times a week,13.2,energetic,ball,bird seed,moderate
451,Fonsie,rabbit,Parakeet,17,83.1,orange,2/6/2012,Fonsie Braunes,ferrichellici@networkadvertising.org,36087 Logan Point,Malindi,,Kenya,,true,true,2219434412,Fonsie Schoenfisch,435-924-2950,Fonsie Errichelli,243-239-7164,Iams,2.3,three times a day,106.6,daily,2.8,calm,feather wand,dog biscuit,low
452,Angelo,bird,Labrador Retriever,8,17.1,orange,11/26/2016,Angelo Metrick,amccritichiecj@themeforest.net,9785 Scoville Pass,El Mida,,Tunisia,,true,true,1254633571,Angelo Phifer,903-536-5804,Angelo McCritichie,585-446-6751,Purina,0.79,twice a day,81.6,weekly,16.5,calm,stuffed animal,bird seed,low
453,Harrison,rabbit,Labrador Retriever,2,45.2,orange,9/24/2014,Harrison Ilive,hburderck@amazon.co.jp,44862 4th Drive,Jiuhu,,China,,false,false,1461203744,Harrison Maha,880-295-7623,Harrison Burder,844-810-9251,Purina,3.45,twice a day,24.4,weekly,4.1,playful,feather wand,carrot,high
454,Lezlie,bird,Goldfish,7,79.2,black,1/28/2000,Lezlie Cullinane,lkramercl@ustream.tv,8385 Ridge Oak Parkway,Zhongfeng,,China,,false,true,9298020148,Lezlie Tinson,555-609-2581,Lezlie Kramer,179-857-8504,Purina,1.75,three times a day,8.8,3 times a week,8.4,playful,chew toy,fish flakes,low
455,Viva,bird,Goldfish,0,88.8,white,1/31/2003,Viva Dungay,vwhitloecm@shutterfly.com,4862 Paget Plaza,Cibitung,,Indonesia,,false,true,1888732549,Viva Petruskevich,701-571-8180,Viva Whitloe,535-820-9266,Royal Canin,6.96,once a day,59.4,3 times a week,17,calm,chew toy,catnip,moderate
456,Melinda,fish,Parakeet,19,87,black,8/21/2007,Melinda Jacobs,mpibsworthcn@smugmug.com,8 Becker Trail,Kurye,,South Korea,,false,false,1885713476,Melinda Webbe,462-859-7263,Melinda Pibsworth,375-951-8940,Blue Buffalo,5.99,twice a day,15.1,weekly,12.6,shy,laser pointer,fish flakes,low
457,Tonye,rabbit,Parakeet,7,25.8,orange,11/12/2016,Tonye Beardshall,tdrewryco@g.co,76571 Sauthoff Hill,Kawengan,,Indonesia,,true,false,6737985435,Tonye Mutlow,633-483-4564,Tonye Drewry,102-430-7422,Hill's Science Diet,9.53,three times a day,15,daily,2.6,energetic,stuffed animal,carrot,low
458,Kristine,dog,Labrador Retriever,13,68.7,orange,4/18/2001,Kristine Lanfer,kbittlesoncp@friendfeed.com,65 Merrick Street,Wansheng,,China,,true,true,2114994403,Kristine Fruchter,505-700-1606,Kristine Bittleson,246-276-5910,Royal Canin,2.92,once a day,24.5,3 times a week,18.9,calm,laser pointer,catnip,high
459,Kendra,bird,Holland Lop,20,48.5,black,11/18/2010,Kendra Coley,kmoloneycq@nps.gov,710 Mariners Cove Road,Zalaegerszeg,Zala,Hungary,8909,true,false,8065884953,Kendra De Simone,479-472-1304,Kendra Moloney,310-492-6363,Hill's Science Diet,5.06,three times a day,56.9,daily,6,shy,stuffed animal,catnip,moderate
460,Rafe,cat,Holland Lop,2,63.3,orange,9/1/2018,Rafe Scopes,rgibkecr@omniture.com,960 Glendale Trail,Palmira,,Panama,,false,true,6055654832,Rafe Dumbellow,471-455-2235,Rafe Gibke,408-861-4916,Purina,1.08,three times a day,0.9,3 times a week,11.3,calm,stuffed animal,dog biscuit,moderate
461,Martainn,bird,Siamese,2,54.1,brown,11/12/2005,Martainn Wilshaw,mmccaullcs@mapy.cz,33 Division Junction,Uzgen,,Kyrgyzstan,,false,true,5831897997,Martainn Fernie,853-536-3116,Martainn Mccaull,172-295-4651,Hill's Science Diet,8.23,twice a day,105.3,weekly,4.7,shy,feather wand,fish flakes,low
462,Eloise,cat,Labrador Retriever,15,79.2,gray,2/3/2012,Eloise Schrei,eshannahanct@lulu.com,19 Service Center,Klevan’,,Ukraine,,true,false,8058156255,Eloise Kolakowski,338-332-3514,Eloise Shannahan,826-828-3248,Purina,3.46,three times a day,104.9,daily,8.4,shy,stuffed animal,catnip,moderate
463,Oralee,fish,Parakeet,0,17.5,black,6/7/2006,Oralee Catherall,othamscu@theguardian.com,0 Warrior Plaza,Vesoul,Franche-Comté,France,70030 CEDEX,true,true,7206172382,Oralee Berard,509-266-0511,Oralee Thams,727-526-8316,Blue Buffalo,0.1,once a day,65,weekly,23.1,shy,chew toy,bird seed,moderate
464,Tripp,dog,Parakeet,11,82.3,gray,2/7/2019,Tripp Jessett,thayecv@studiopress.com,72 Utah Trail,Sv. Ana v Slov. Goricah,,Slovenia,2235,true,true,4832473631,Tripp Skottle,428-846-6404,Tripp Haye,223-432-6718,Blue Buffalo,5.18,three times a day,59,weekly,20.9,friendly,feather wand,dog biscuit,moderate
465,Amaleta,fish,Holland Lop,15,44,gray,7/27/2013,Amaleta Ashborne,afranzmancw@businesswire.com,5 American Trail,Jun’an,,China,,false,false,3765432426,Amaleta Gault,960-298-0139,Amaleta Franzman,278-756-0044,Hill's Science Diet,4.17,twice a day,91.3,weekly,3.8,friendly,ball,catnip,moderate
466,Stanley,rabbit,Goldfish,10,44.5,brown,12/5/2018,Stanley Prinett,stoolancx@flickr.com,77 Sunnyside Drive,Shuanghekou,,China,,true,true,4674505861,Stanley Goss,717-304-8945,Stanley Toolan,253-897-2599,Royal Canin,2.94,twice a day,33.9,3 times a week,3.7,playful,feather wand,dog biscuit,high
467,Emilia,dog,Holland Lop,18,87.1,brown,7/22/2012,Emilia Goodday,ecabellcy@merriam-webster.com,840 Kim Avenue,Handan,,China,,false,true,4852705166,Emilia Wilkins,316-520-8712,Emilia Cabell,814-197-6638,Royal Canin,2.66,twice a day,33.5,weekly,7.7,playful,chew toy,bird seed,high
468,Cherise,fish,Siamese,2,3.1,orange,2/19/2011,Cherise Traill,clehrercz@nbcnews.com,3 Cardinal Way,Zhangxiang,,China,,false,true,1486066329,Cherise Legrave,858-543-6817,Cherise Lehrer,447-279-4250,Purina,0.11,once a day,39.7,daily,12.2,energetic,feather wand,fish flakes,low
469,Zolly,bird,Holland Lop,16,57.1,black,5/10/2019,Zolly Tremollet,zsansd0@paginegialle.it,70078 Walton Point,Ostashkov,,Russia,175276,true,false,7052049332,Zolly Sedgefield,246-505-9551,Zolly Sans,293-888-6855,Royal Canin,6.1,three times a day,12.4,daily,2.7,energetic,stuffed animal,catnip,high
470,Walden,cat,Goldfish,8,53.4,gray,7/22/2013,Walden Schoenleiter,wjostd1@engadget.com,885 Buhler Circle,Majiao,,China,,false,false,2257495780,Walden Lillford,580-881-2130,Walden Jost,288-835-6445,Blue Buffalo,1.53,once a day,109,daily,6.4,friendly,laser pointer,carrot,high
471,Mersey,rabbit,Holland Lop,14,64.2,gray,5/14/2013,Mersey Grinvalds,mhambidged2@squidoo.com,8646 Sutteridge Pass,Molchanovo,,Russia,636330,false,true,5401896599,Mersey Alyoshin,654-936-7724,Mersey Hambidge,944-562-3003,Hill's Science Diet,8.11,three times a day,36,daily,20,playful,feather wand,fish flakes,low
472,Bonni,cat,Labrador Retriever,6,89.3,black,6/30/2022,Bonni Taleworth,bingryd3@harvard.edu,2054 Ryan Park,Åhus,Skåne,Sweden,296 81,false,true,4666694142,Bonni Brealey,364-883-0066,Bonni Ingry,427-641-4829,Blue Buffalo,7.9,twice a day,106.4,3 times a week,24,calm,feather wand,bird seed,moderate
473,Arturo,fish,Goldfish,1,4.3,black,1/24/2000,Arturo Stansby,aflamankd4@imgur.com,19846 Oak Valley Hill,Orikum,,Albania,,false,false,9735073749,Arturo Cummings,610-333-9244,Arturo Flamank,566-899-9680,Royal Canin,3.13,once a day,32.5,daily,19.5,energetic,chew toy,bird seed,low
474,Kristin,dog,Siamese,3,81.1,white,5/29/2020,Kristin Spraggs,kmaryond5@omniture.com,66 Pepper Wood Plaza,Jiexiu,,China,,true,false,1592875009,Kristin Van Hesteren,756-110-6669,Kristin Maryon,450-194-8867,Royal Canin,6.42,three times a day,62.6,weekly,9,playful,stuffed animal,fish flakes,high
475,Kiele,rabbit,Goldfish,0,22.6,white,9/10/2006,Kiele Mangan,kphelipd6@cpanel.net,12444 Golf View Junction,Margasari,,Indonesia,,false,false,5749448506,Kiele Rosenstein,268-126-3923,Kiele Phelip,479-895-8575,Iams,1.36,twice a day,119.4,weekly,13.1,shy,chew toy,dog biscuit,high
476,Isak,cat,Goldfish,13,37.6,gray,6/12/2017,Isak Kitchinham,irobertsd7@hugedomains.com,1 Chinook Drive,San Jacinto,,Peru,,false,false,8603059209,Isak Chellam,133-304-5498,Isak Roberts,764-366-2201,Iams,4.04,three times a day,93.3,daily,14.5,calm,stuffed animal,bird seed,moderate
477,Shirl,bird,Holland Lop,4,56.4,white,3/1/2007,Shirl Algore,sancliffed8@google.com,788 Anthes Pass,Armentières,Nord-Pas-de-Calais,France,59425 CEDEX,false,false,9507230930,Shirl Janjic,923-937-7038,Shirl Ancliffe,166-668-5268,Royal Canin,6.76,twice a day,23,3 times a week,0.6,playful,feather wand,bird seed,low
478,Rafaela,dog,Siamese,14,28.6,brown,5/11/2014,Rafaela Ouver,ricetond9@thetimes.co.uk,6 Debra Place,Sembungin,,Indonesia,,false,true,9430944532,Rafaela Lock,176-855-2824,Rafaela Iceton,162-170-2092,Blue Buffalo,3.73,twice a day,29.5,3 times a week,20.4,playful,ball,fish flakes,moderate
479,Hal,dog,Labrador Retriever,19,95.5,black,7/22/2000,Hal Bigadike,hbohljeda@netscape.com,7484 Sutteridge Alley,Jamundí,,Colombia,764008,true,false,6851905927,Hal Nucciotti,834-337-6818,Hal Bohlje,968-841-2927,Hill's Science Diet,0.36,once a day,112.2,weekly,14.2,friendly,chew toy,carrot,low
480,Melba,bird,Siamese,5,3.7,orange,12/20/2012,Melba Davydzenko,mrehordb@loc.gov,9781 Fisk Plaza,St. Anton an der Jeßnitz,Niederösterreich,Austria,3282,false,false,7939873117,Melba Escalero,540-808-6443,Melba Rehor,534-409-4282,Hill's Science Diet,8.53,once a day,88.1,3 times a week,20.7,shy,feather wand,carrot,moderate
481,Shelly,cat,Goldfish,0,25.2,orange,9/24/2010,Shelly Mattys,smanginotdc@census.gov,41 Bluejay Circle,Breda,Provincie Noord-Brabant,Netherlands,4819,false,true,2860294628,Shelly Assard,377-499-6982,Shelly Manginot,921-668-0176,Blue Buffalo,7.73,three times a day,35.9,3 times a week,22.1,friendly,ball,carrot,high
482,Chester,rabbit,Holland Lop,19,66.4,gray,1/9/2012,Chester Birchill,cmainsondd@umn.edu,02858 5th Trail,Sitangkai,,Philippines,7506,true,true,3658022752,Chester Rustan,630-558-2651,Chester Mainson,145-348-1881,Iams,5.64,twice a day,98,daily,21.8,calm,laser pointer,dog biscuit,high
483,Riordan,bird,Labrador Retriever,6,34.4,gray,5/4/2003,Riordan Frankel,rchapellowde@vinaora.com,504 School Court,Yakutsk,,Russia,677027,true,false,9673453176,Riordan Mowen,404-256-8510,Riordan Chapellow,549-720-3604,Iams,1.24,three times a day,76.3,daily,10.4,shy,stuffed animal,carrot,high
484,Abbie,bird,Holland Lop,15,51.3,black,10/18/2013,Abbie Waldrum,amogenotdf@symantec.com,67 Novick Park,Beiguoyuan,,China,,true,false,3908836612,Abbie Rosenbloom,307-570-0318,Abbie Mogenot,827-699-6754,Iams,4.28,three times a day,9.6,3 times a week,7.1,playful,chew toy,catnip,low
485,Robbert,dog,Goldfish,9,0.3,white,12/15/2012,Robbert Galloway,rkelingedg@flavors.me,9272 Lerdahl Place,Sutton,England,United Kingdom,RH5,true,true,5963789862,Robbert Pert,728-123-0703,Robbert Kelinge,208-208-4950,Blue Buffalo,9.98,twice a day,103.3,weekly,18.4,friendly,chew toy,fish flakes,high
486,Tadio,dog,Parakeet,19,33.9,gray,2/2/2017,Tadio Dreghorn,tgeorgeoudh@biblegateway.com,9881 Iowa Point,Budapest,Budapest,Hungary,1111,false,false,8253379440,Tadio Hanna,783-649-5003,Tadio Georgeou,163-555-8675,Iams,7.42,three times a day,68.5,3 times a week,2.3,friendly,stuffed animal,catnip,high
487,Dore,cat,Goldfish,8,3.6,orange,12/19/2001,Dore Sture,dmcasparandi@columbia.edu,5 Shopko Park,Nueva Gorgona,,Panama,,false,true,4262287342,Dore Fenelow,563-790-5408,Dore Mcasparan,234-252-0301,Purina,7.12,twice a day,29,3 times a week,0,playful,chew toy,bird seed,moderate
488,Brett,bird,Parakeet,6,39.2,gray,1/16/2003,Brett Giron,bepiletdj@mtv.com,9 Talisman Terrace,Umi,,Japan,811-2101,false,true,7492360405,Brett Sealove,689-224-4456,Brett Epilet,987-406-8710,Iams,8.85,twice a day,54.2,daily,8,shy,stuffed animal,carrot,high
489,Creight,fish,Labrador Retriever,19,26.2,orange,6/8/2006,Creight Sturror,cgrinaughdk@deliciousdays.com,68771 Center Court,Camp Ithier,,Mauritius,,false,false,4950564880,Creight Quayle,190-863-1806,Creight Grinaugh,471-932-9266,Iams,6.56,once a day,66.8,daily,12.4,friendly,chew toy,dog biscuit,moderate
490,Andris,rabbit,Holland Lop,3,12.6,orange,5/22/2004,Andris Tupp,atredwelldl@telegraph.co.uk,2060 Forest Run Drive,Riyadh,,Saudi Arabia,,false,true,3609266348,Andris Rieme,311-227-2148,Andris Tredwell,256-683-4619,Royal Canin,4.46,twice a day,81.4,daily,9.2,energetic,chew toy,bird seed,moderate
491,Thaine,fish,Parakeet,17,3.4,orange,5/12/2006,Thaine Balentyne,tthornhilldm@altervista.org,56 Havey Road,Manalu,,Indonesia,,false,false,3559664608,Thaine Moriarty,268-355-9124,Thaine Thornhill,278-321-6306,Purina,0.8,once a day,87.3,daily,11.1,calm,stuffed animal,carrot,moderate
492,Alain,dog,Goldfish,17,44.8,brown,5/16/2019,Alain New,aguerrydn@accuweather.com,6 Barnett Terrace,Saryshaghan,,Kazakhstan,,true,false,9586294381,Alain Ivanshintsev,767-667-4734,Alain Guerry,162-958-9411,Hill's Science Diet,4.55,twice a day,54.6,weekly,22.4,energetic,ball,fish flakes,low
493,Guntar,cat,Holland Lop,9,50.3,white,2/6/2002,Guntar Sommerfeld,gfenwickdo@delicious.com,51842 Jenna Lane,Burgas,,Bulgaria,8000,true,false,1492732869,Guntar Baseke,763-158-8767,Guntar Fenwick,849-280-3135,Purina,2.81,once a day,50.9,3 times a week,1.2,energetic,laser pointer,catnip,low
494,Roxanne,bird,Siamese,16,28.5,orange,7/6/2001,Roxanne Barg,rsherbrookdp@prweb.com,9166 Kenwood Crossing,Debre Zeyit,,Ethiopia,,true,false,7275882237,Roxanne Crawley,875-226-8898,Roxanne Sherbrook,955-405-2201,Blue Buffalo,4.08,once a day,90.7,3 times a week,16.1,energetic,chew toy,carrot,high
495,Jarad,fish,Goldfish,18,93.9,white,12/11/2021,Jarad Rae,jmckeighendq@nyu.edu,913 Graedel Crossing,Luksuhin,,Philippines,4221,true,false,4199615654,Jarad Tollerton,466-580-6887,Jarad McKeighen,890-346-5436,Royal Canin,5.68,once a day,89.5,daily,17.6,playful,stuffed animal,bird seed,low
496,Ethelyn,dog,Goldfish,12,69.5,gray,5/26/2014,Ethelyn Meenan,eorromdr@cisco.com,411 West Pass,Maoping,,China,,true,false,8135599746,Ethelyn Lackeye,129-641-4988,Ethelyn Orrom,911-752-4766,Royal Canin,2.9,once a day,103.6,daily,3,calm,feather wand,catnip,moderate
497,Harris,cat,Labrador Retriever,16,86.6,orange,4/1/2022,Harris Childerhouse,hruddockds@cpanel.net,8 Claremont Avenue,San José de Ocoa,,Dominican Republic,11809,true,false,1937158303,Harris Linn,135-753-7548,Harris Ruddock,815-626-3132,Purina,1.92,three times a day,111.8,daily,14.4,energetic,laser pointer,carrot,high
498,Brion,rabbit,Goldfish,6,13.8,gray,7/24/2012,Brion Idney,battkinsdt@free.fr,03186 Oxford Crossing,Sietesz,,Poland,37-206,true,true,4374160790,Brion Stepto,682-888-6837,Brion Attkins,648-969-0285,Blue Buffalo,5.26,three times a day,51.1,daily,23.4,shy,chew toy,carrot,low
499,Kristoffer,bird,Siamese,17,37.3,brown,7/22/2019,Kristoffer Heeley,kscurrerdu@taobao.com,7 6th Center,Konstantynów,,Poland,21-543,true,true,4518052642,Kristoffer Mayor,201-100-5008,Kristoffer Scurrer,195-971-6281,Hill's Science Diet,1.41,twice a day,2.8,weekly,14.2,calm,chew toy,dog biscuit,moderate
500,Joshuah,dog,Labrador Retriever,5,37.5,black,9/29/2002,Joshuah Brasner,jfendtdv@ocn.ne.jp,64733 Monterey Avenue,Sviblovo,,Russia,627603,true,false,9403271396,Joshuah Dennerley,369-764-9936,Joshuah Fendt,181-133-4331,Purina,9.5,once a day,6.2,3 times a week,23.6,friendly,chew toy,carrot,low
501,Kitty,rabbit,Holland Lop,14,33.8,white,9/9/2012,Kitty Wooff,karnolldw@de.vu,2 Ridge Oak Terrace,Mandala,,Indonesia,,true,false,8116410855,Kitty Cristofanini,344-506-0595,Kitty Arnoll,653-966-8742,Hill's Science Diet,6.24,once a day,2.2,daily,22.5,friendly,laser pointer,fish flakes,high
502,Boycey,cat,Labrador Retriever,19,20.8,orange,4/13/2001,Boycey Espinos,bkleinholzdx@netscape.com,96629 Sachs Place,Jūrat ash Sham‘ah,,Palestinian Territory,,true,false,1113262744,Boycey Meachem,505-409-3921,Boycey Kleinholz,867-826-1483,Iams,1.1,once a day,109.6,weekly,0.1,playful,ball,catnip,high
503,Tove,rabbit,Parakeet,16,71.2,white,8/30/2004,Tove Magson,twoodlanddy@purevolume.com,13 Randy Park,København,Region Hovedstaden,Denmark,1240,true,true,1014733951,Tove Comber,166-780-6549,Tove Woodland,637-845-8301,Iams,9.62,twice a day,101.4,daily,18,shy,ball,fish flakes,moderate
504,Gabbie,fish,Parakeet,2,73.2,brown,11/25/2008,Gabbie Escalero,grenneydz@skyrock.com,412 Sutherland Road,Sāqayn,,Yemen,,false,false,7368122702,Gabbie Ottawell,187-909-8684,Gabbie Renney,310-890-3320,Iams,2.56,once a day,97.2,daily,6.9,friendly,laser pointer,dog biscuit,high
505,Enrica,rabbit,Parakeet,14,33.1,white,9/28/2021,Enrica Redgewell,ebackhousee0@issuu.com,8 Luster Junction,Sioguí Abajo,,Panama,,false,false,1088643192,Enrica Mabe,958-327-4478,Enrica Backhouse,340-107-5644,Blue Buffalo,1.92,once a day,9.8,3 times a week,6.2,calm,ball,carrot,moderate
506,Philomena,rabbit,Parakeet,13,97,orange,6/7/2005,Philomena Jallin,pbidewelle1@bbc.co.uk,05353 Eagle Crest Crossing,Nazaré da Mata,,Brazil,55800-000,false,false,4023765737,Philomena Trudgion,711-756-9726,Philomena Bidewell,849-181-9114,Hill's Science Diet,1.01,twice a day,50.2,weekly,2.6,friendly,stuffed animal,fish flakes,low
507,Averil,rabbit,Goldfish,0,14.3,brown,4/30/2005,Averil Yeoman,aaneleye2@blogtalkradio.com,0 Kipling Pass,Honiara,,Solomon Islands,,true,false,9659004691,Averil Wederell,731-323-1573,Averil Aneley,401-684-4802,Blue Buffalo,0.91,once a day,59.6,weekly,13.5,playful,laser pointer,fish flakes,low
508,Nathalia,rabbit,Goldfish,7,10,brown,4/7/2019,Nathalia Klaesson,npocklingtone3@fotki.com,4792 Onsgard Way,Nelahozeves,,Czech Republic,277 51,false,true,2614422667,Nathalia Huitson,132-825-1855,Nathalia Pocklington,287-470-2943,Iams,0.93,once a day,19.6,daily,20.8,energetic,laser pointer,carrot,high
509,Margarethe,rabbit,Parakeet,8,19,gray,9/24/2010,Margarethe Townsend,mbenazete4@ihg.com,1 Hanover Park,Aegela,,Indonesia,,true,false,3504712894,Margarethe Clancy,503-908-7972,Margarethe Benazet,720-479-5097,Blue Buffalo,3.43,three times a day,19.8,daily,7.5,playful,chew toy,bird seed,moderate
510,Enrika,bird,Parakeet,12,52.5,brown,7/11/2013,Enrika Mothersdale,etitleye5@t-online.de,42 Duke Point,Luleå,Norrbotten,Sweden,974 42,true,true,1671107659,Enrika MacAnelley,114-604-2447,Enrika Titley,110-508-5518,Royal Canin,5.01,three times a day,77.7,daily,5.5,calm,laser pointer,dog biscuit,high
511,Timothy,dog,Siamese,15,82.5,black,12/1/2014,Timothy O'Shiel,tclosse6@ucla.edu,17016 Derek Court,El Carmen,,Argentina,3190,true,true,2175071015,Timothy Evetts,269-796-2873,Timothy Closs,307-122-0544,Hill's Science Diet,9.8,twice a day,22.1,weekly,5.1,playful,feather wand,bird seed,moderate
512,Lorne,cat,Parakeet,0,70.1,brown,11/16/2007,Lorne Curman,ltremelliere7@oaic.gov.au,79 Northview Court,Baoping,,China,,false,true,6388804141,Lorne Gubbins,770-247-2643,Lorne Tremellier,763-175-3518,Purina,4.45,three times a day,66.4,weekly,4.9,calm,laser pointer,dog biscuit,high
513,Jorrie,bird,Goldfish,1,76.7,gray,12/19/2015,Jorrie Crighton,jdanilyuke8@home.pl,04 Kensington Drive,Asen,,Bulgaria,6151,false,true,1858220790,Jorrie Torrese,514-935-8687,Jorrie Danilyuk,957-757-8689,Iams,3.1,three times a day,114.1,daily,10.6,playful,chew toy,fish flakes,high
514,Grenville,dog,Parakeet,3,54.4,black,8/9/2010,Grenville Lovat,ghaldanee9@auda.org.au,548 Oneill Drive,Xiaochuan,,China,,false,true,7011082455,Grenville O'Hickey,912-577-4206,Grenville Haldane,749-921-9451,Hill's Science Diet,1.89,once a day,41.3,3 times a week,20.7,energetic,ball,fish flakes,low
515,Kiele,fish,Holland Lop,15,79.8,orange,2/9/2008,Kiele Forsdike,kgerauldea@soup.io,683 Tennessee Point,Pęczniew,,Poland,99-235,false,false,1842816422,Kiele Gosden,459-550-0220,Kiele Gerauld,616-223-5291,Iams,7.35,three times a day,73.8,3 times a week,0.6,energetic,laser pointer,bird seed,moderate
516,Ned,rabbit,Parakeet,18,50.7,orange,3/23/2011,Ned Gioani,nitzkovitcheb@blinklist.com,3118 Dapin Parkway,Ngujuran,,Indonesia,,true,false,9757521436,Ned Hardiman,272-955-1964,Ned Itzkovitch,638-835-7104,Purina,1.06,three times a day,17.8,weekly,18.9,playful,feather wand,carrot,high
517,Thibaud,rabbit,Labrador Retriever,6,30.2,gray,5/5/2012,Thibaud Lowre,tmcilvennaec@wikipedia.org,2 Moulton Drive,Muikamachi,,Japan,990-0054,true,false,4776611733,Thibaud Banbrook,908-485-5697,Thibaud McIlvenna,370-215-2704,Hill's Science Diet,7.82,twice a day,118.2,daily,1.6,friendly,laser pointer,catnip,moderate
518,Carlin,rabbit,Holland Lop,17,17.5,black,9/7/2014,Carlin Bulman,congined@cargocollective.com,213 Gina Center,Qianqiao,,China,,false,true,2139744204,Carlin Burtwistle,527-696-7787,Carlin Ongin,747-542-3762,Blue Buffalo,2.41,once a day,61.6,weekly,15.6,shy,laser pointer,catnip,low
519,Zabrina,fish,Holland Lop,4,18.9,black,7/15/2004,Zabrina Buchett,zgiveenee@msn.com,8 Graedel Court,Khairpur,,Pakistan,65011,false,false,4535743468,Zabrina Alsop,467-498-2649,Zabrina Giveen,211-346-3795,Purina,0.7,twice a day,67,daily,12.6,energetic,stuffed animal,dog biscuit,high
520,Danica,cat,Siamese,10,53.5,gray,9/29/2005,Danica Allmann,dgrunbaumef@addthis.com,2 Hintze Street,Haguimit,,Philippines,6117,false,false,7049561904,Danica Maro,303-429-8351,Danica Grunbaum,227-780-5355,Iams,8.4,once a day,25.6,daily,19.4,energetic,stuffed animal,dog biscuit,low
521,Ragnar,dog,Siamese,14,3.1,orange,7/5/2005,Ragnar Beardwood,rhugoeg@topsy.com,9 Mariners Cove Junction,Tianxin,,China,,false,true,6663753127,Ragnar Stevings,995-624-7113,Ragnar Hugo,110-113-1801,Blue Buffalo,0.85,three times a day,52.3,3 times a week,10.8,energetic,ball,fish flakes,low
522,Allyn,dog,Siamese,17,89.9,white,6/16/2013,Allyn Kensy,aboyereh@icq.com,684 Johnson Court,Borovlyany,,Belarus,,true,false,6993795194,Allyn Winter,203-549-3022,Allyn Boyer,723-155-6987,Purina,4.63,twice a day,113.8,weekly,7.3,shy,stuffed animal,carrot,high
523,Jessalin,fish,Siamese,16,43.9,gray,9/21/2007,Jessalin Burdass,javrahamei@skyrock.com,9051 Nancy Junction,Suwaduk,,Indonesia,,false,false,7264736545,Jessalin Carbett,385-874-7409,Jessalin Avraham,225-391-9441,Blue Buffalo,0.98,twice a day,110.9,daily,23.3,calm,stuffed animal,catnip,low
524,Whitney,bird,Parakeet,1,12.5,brown,10/26/2017,Whitney Sparshatt,wkirimaaej@mail.ru,52717 Cambridge Pass,Tarlac City,,Philippines,2300,false,false,7326407411,Whitney Shuter,847-444-3468,Whitney Kirimaa,447-830-2239,Purina,0.48,twice a day,75.9,weekly,8.4,playful,stuffed animal,carrot,high
525,Karen,bird,Goldfish,19,98.4,orange,11/4/2006,Karen Strowther,kfolleyek@clickbank.net,79 Everett Parkway,Lakshmīpur,,Bangladesh,1553,true,true,8274680725,Karen Totterdill,542-837-6640,Karen Folley,534-364-3581,Royal Canin,6.92,once a day,102.1,weekly,0.7,shy,feather wand,dog biscuit,high
